id,date,character,event
master-475,"2020 April 12, Sunday",Hans Raaflaub,"Getting worse, screams for a minute straight"
master-476,"2020 April 18, Saturday",Samuel,Seventh talk with Anneliese (she calls)
master-477,"2020 April 18, Saturday",Anneliese,Last talk with S. She is writing the preface.
master-478,"2020 April 18, Saturday",Luzia,"Not happy in law school, not sleeping or eating"
master-479,"2020 April 22, Wednesday",Samuel,(The night Samuel finally burns)
master-480,"2020 April 23, Thursday",Samuel,Samuel quits
master-481,"2020 April 23, Thursday",Catherine,Repudiates S. Says her partner is in St. Mark's
master-482,2020 May 2,Samuel,Asks C what is wrong with Paul
master-483,2020 May 2,Luzia,"Quits law school, goes to Lausanne to help Mila"
master-484,2020 May 4,Samuel,Anneliese dies (67 years old)
master-485,2020 May 4,Anneliese,Anneliese dies (67 years old)
master-486,2020 May 4,Luzia,Goes to Basel on weekends to help Paul and Hans
master-487,2020 May 21,Samuel,"Calls Paul, hears A. has died"
master-488,2020 May 22,Samuel,Writes Paul
master-489,2020 May 22,Catherine,Chris dies in St. Mark's (4 2) She can't contact Sheila
master-490,"2020 June 7, Sunday",Samuel,"A's notebooks, letter returned, leaves lab"
master-491,"2020 June 7, Sunday",Catherine,"Retires to Orange Grove, Texas"
master-492,"2020 June 7, Sunday",Hans Raaflaub,(Disappeared.)
master-493,"2020 June 7, Sunday",Paul,(Disappeared.)
master-494,"2020 June 7, Sunday",Luzia,(Disappeared.)
master-495,2020 June 8,Samuel,Drives north
master-496,2020 June 28,Samuel,S. leaves Guelph. Visits Fina
master-497,2020 June 28,François Aucoin,Dies of cancer (4 1)
master-498,2020 June 28,Gunngeir Margeirsson,Moves to El Paso (he is 8)
master-499,2020 July,Samuel,"Writes jalousies in Book 1, chapters 11-end"
master-500,2020 July,Catherine,July 15: board would sit to end S's job (Book 3  11)
master-501,2020 August,Samuel,Last visit to Watkins Glen
master-502,2020 September,Rosie,"Quits the Water Department, moves to Oustic"
master-503,2020 September,Viperine,Sends a telegram to Samuel in Mulu
master-504,"2021 Monday, October 12",Samuel,Return to G. to close apartment; Rosie has gone
master-505,2021,Samuel,S disappears. He's 50.
master-506,2021,Adela,Maries Ambroz (she is 42)
master-507,2021,Ambroz Tóth,Marries Adela (he is 48)
master-508,2021,Hans-Myrl,Dies (93 years old)
master-509,2022,Samuel,"Writes Books 2 and 3, and their Prefaces."
master-510,2022,Vipesh,Works for Ai Genetics in Mississauga
master-511,2022,Hans Raaflaub,"Paul's uncle dies, age 86"
master-512,2022,Pekka Stserispaa,Abruptly leaves zoo (4 6)
master-513,2022,Sirje Kukk,Graduates. Thesis mentioned in 4 2
master-514,2023 October 12,Samuel,Writes Book 4 and its Preface. Books go into storage.
master-515,2023 October 12,Vipesh,"Marries Betty Saitong (he is 33, she is 29)"
master-516,2023 October 12,Dr. Maria-Kristiina Tank,Stops teaching at Tartu Ülikool (too time-consuming)
master-517,2024,Samuel,"(""Blackout years,"" 2024–2061)"
master-518,2024,Sirje Kukk,Swedish Åbo Akademi University in Finland
master-519,2024,Owole,Stephanie Allmar moves to San Diego; Owole medicated
master-520,2024,Adela's mother,Marries Dalibor Rudolf Firkušný (67 years old)
master-521,2024,"Agathe, Ted",Citizen of the Year
master-522,2029,Paul,"Paul dies, age 69  (4 4)"
master-523,2029,Owole,Sister dies. Moved to new pen
master-524,2029,Maschinka,Marries
master-525,2029,"Agathe, Ted",Ted dies
master-526,2031,Samuel,(Makes up with Fina: not in the book)
master-527,2031,Adela,Adela dies; Maschinka writes to Samuel
master-528,2031,Dr. Maria-Kristiina Tank,"Retires from the zoo, moves back to Saue"
master-529,2031,Pekka Stserispaa,Begins spray-painting churches in Maine
master-530,2031,Sirje Kukk,"Moves to Kolmården Zoo, Sweden"
master-531,2031,Marvin,"Marvin dies (30 years old, 22 years alone)"
master-532,2031,Adela's mother,"Dalibor dies (she is 74, he is 81)"
master-533,2031,Maschinka,Writes Samuel about Adela's death. 1st daughter Eva
master-534,2031,"Agathe, Ted",Agathe dies (62 years old)
master-535,2031,Gunngeir Margeirsson,Dies in El Paso (19 years old)
master-536,2042,Catherine,Dies (age 89)
master-537,2042,Dr. Maria-Kristiina Tank,Son dies of aspiration
master-538,2042,Ambroz Tóth,Dies (he is 69)
master-539,2049,Samuel,"Box moved to lighted storage (3 Note ""This Book"")"
master-540,2049,Pekka Stserispaa,Court proceedings in Maine (4 6)
master-541,2049,Owole,Owole dies (36 years old)
master-542,2049,Maschinka,Writes Samuel about Stepanka's death (M. is 47)
master-543,2049,Stepánka,Dies (50 years old)
master-544,2050,Rosie,Retires
master-545,2050,Sirje Kukk,Retires (62 years old)
master-546,2055,Pekka Stserispaa,Dies (4 6) (79 years old)
master-547,2055,Adela's mother,Dies (98 years old)
master-548,2057,Vipesh,Dies of myocardial infarction
master-549,2059,Rosie,Dies (71 years old).
master-550,2059,John Preteen,Dies (75 years old)
master-551,2059,Dr. Maria-Kristiina Tank,Dies of zoonotic leptospirosis.
master-552,2059,Sirje Kukk,"Died ""just a few years ago"""
master-553,"(Indeterminate year, between 2021 and 2061)",Alec,Alec dies in a farm accident. Samuel visits Karen twice.
master-554,"(Indeterminate year, between 2021 and 2061)",Stuart Zachery,"Mentioned in Rosie's obituary, c. 2059. Would be 50."
master-555,"(Indeterminate year, between 2021 and 2061)",Albert,"Not mentioned in Rosie's obituary, and so assumed dead"
master-556,"(Indeterminate year, between 2021 and 2061)",Viperine,(Disappeared.)
master-557,"(Indeterminate year, between 2021 and 2061)",Ekaterina),(Disappeared.)
master-558,"(Indeterminate year, between 2021 and 2061)",Jan,(Disappeared.)
master-559,"(Indeterminate year, between 2021 and 2061)",Maschinka,(Disappeared.)
master-560,2061 May,Samuel,"Finds the books (1 2 n. 7, 1 8 n. 2; 2 n. 11; 3 ""This Book"")"
master-561,2061 June,Samuel,"Writes notes in Book 1, has syncope"
master-562,2061 July,Samuel,"Writes notes in Book 2, second syncope"
master-563,2061 September,Samuel,"Writes notes in Book 3, moves out"
master-564,2061 October,Samuel,Writes 12 Variations for Book 4
master-565,2062 January,Samuel,Writes Book 5
